"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"1089","TMEM86A","ENSG00000151117","1089.1.1","Tmem86a","ENSMUSG00000010307","transmembrane protein 86A [Source:MGI Symbol;Acc:MGI:1915143]"
"1090","RARA","ENSG00000131759","1090.1.1","Rara","ENSMUSG00000037992","retinoic acid receptor, alpha [Source:MGI Symbol;Acc:MGI:97856]"
"1091","PLEKHA2","ENSG00000169499","1091.1.1","Plekha2","ENSMUSG00000031557","pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 2 [Source:MGI Symbol;Acc:MGI:1928144]"
"1092","SIAH2","ENSG00000181788","1092.1.1","Siah2","ENSMUSG00000036432","siah E3 ubiquitin protein ligase 2 [Source:MGI Symbol;Acc:MGI:108062]"
"1093","ACOT7","ENSG00000097021","1093.1.1","Acot7","ENSMUSG00000028937","acyl-CoA thioesterase 7 [Source:MGI Symbol;Acc:MGI:1917275]"
"1094","SRSF5","ENSG00000100650","1094.1.1","Srsf5","ENSMUSG00000021134","serine and arginine-rich splicing factor 5 [Source:MGI Symbol;Acc:MGI:98287]"
"1095","HGF","ENSG00000019991","1095.1.1","Hgf","ENSMUSG00000028864","hepatocyte growth factor [Source:MGI Symbol;Acc:MGI:96079]"
"1096","NECAP1","ENSG00000089818","1096.1.1","Necap1","ENSMUSG00000030327","NECAP endocytosis associated 1 [Source:MGI Symbol;Acc:MGI:1914852]"
"1097","IL6ST","ENSG00000134352","1097.1.1","Il6st","ENSMUSG00000021756","interleukin 6 signal transducer [Source:MGI Symbol;Acc:MGI:96560]"
"1098","FBXO33","ENSG00000165355","1098.1.1","Fbxo33","ENSMUSG00000035329","F-box protein 33 [Source:MGI Symbol;Acc:MGI:1917861]"
"1099","EEPD1","ENSG00000122547","1099.1.1","Eepd1","ENSMUSG00000036611","endonuclease/exonuclease/phosphatase family domain containing 1 [Source:MGI Symbol;Acc:MGI:1914734]"
"1100","ANP32A","ENSG00000140350","1100.1.1","Anp32a","ENSMUSG00000032249","acidic nuclear phosphoprotein 32 family member A [Source:MGI Symbol;Acc:MGI:108447]"
"1101","PHYH","ENSG00000107537","1101.1.1","Phyh","ENSMUSG00000026664","phytanoyl-CoA hydroxylase [Source:MGI Symbol;Acc:MGI:891978]"
"1102","SIPA1L2","ENSG00000116991","1102.1.1","Sipa1l2","ENSMUSG00000001995","signal-induced proliferation-associated 1 like 2 [Source:MGI Symbol;Acc:MGI:2676970]"
"1103","PDE8A","ENSG00000073417","1103.1.1","Pde8a","ENSMUSG00000025584","phosphodiesterase 8A [Source:MGI Symbol;Acc:MGI:1277116]"
"1104","UGDH","ENSG00000109814","1104.1.1","Ugdh","ENSMUSG00000029201","UDP-glucose dehydrogenase [Source:MGI Symbol;Acc:MGI:1306785]"
"1105","ABCC5","ENSG00000114770","1105.1.1","Abcc5","ENSMUSG00000022822","ATP-binding cassette, sub-family C member 5 [Source:MGI Symbol;Acc:MGI:1351644]"
"1106","ITGAV","ENSG00000138448","1106.1.1","Itgav","ENSMUSG00000027087","integrin alpha V [Source:MGI Symbol;Acc:MGI:96608]"
"1107","LYZ","ENSG00000090382","1107.1.1","Lyz3","ENSMUSG00000020177","lysozyme 3 [Source:MGI Symbol;Acc:MGI:1924647]"
"1107","LYZ","ENSG00000090382","1107.1.2","Lyz1","ENSMUSG00000069515","lysozyme 1 [Source:MGI Symbol;Acc:MGI:96902]"
"1107","LYZ","ENSG00000090382","1107.1.3","Lyz2","ENSMUSG00000069516","lysozyme 2 [Source:MGI Symbol;Acc:MGI:96897]"
"1108","ZNF503","ENSG00000165655","1108.1.1","Zfp503","ENSMUSG00000039081","zinc finger protein 503 [Source:MGI Symbol;Acc:MGI:1353644]"
"1109","ZC3HAV1","ENSG00000105939","1109.1.1","Zc3hav1","ENSMUSG00000029826","zinc finger CCCH type, antiviral 1 [Source:MGI Symbol;Acc:MGI:1926031]"
"1110","TTC39C","ENSG00000168234","1110.1.1","Ttc39c","ENSMUSG00000024424","tetratricopeptide repeat domain 39C [Source:MGI Symbol;Acc:MGI:1919997]"
"1111","COQ10B","ENSG00000115520","1111.1.1","Coq10b","ENSMUSG00000025981","coenzyme Q10B [Source:MGI Symbol;Acc:MGI:1915126]"
"1112","SH2B1","ENSG00000178188","1112.1.1","Sh2b1","ENSMUSG00000030733","SH2B adaptor protein 1 [Source:MGI Symbol;Acc:MGI:1201407]"
"1113","SKAP2","ENSG00000005020","1113.1.1","Skap2","ENSMUSG00000059182","src family associated phosphoprotein 2 [Source:MGI Symbol;Acc:MGI:1889206]"
"1114","ADPGK","ENSG00000159322","1114.1.1","Adpgk","ENSMUSG00000025236","ADP-dependent glucokinase [Source:MGI Symbol;Acc:MGI:1919391]"
"1115","SLC35B1","ENSG00000121073","1115.1.1","Slc35b1","ENSMUSG00000020873","solute carrier family 35, member B1 [Source:MGI Symbol;Acc:MGI:1343133]"
"1116","MPHOSPH9","ENSG00000051825","1116.1.1","Mphosph9","ENSMUSG00000038126","M-phase phosphoprotein 9 [Source:MGI Symbol;Acc:MGI:2443138]"
"1117","SLC25A28","ENSG00000155287","1117.1.1","Slc25a28","ENSMUSG00000040414","solute carrier family 25, member 28 [Source:MGI Symbol;Acc:MGI:2180509]"
"1118","MON1B","ENSG00000103111","1118.1.1","Mon1b","ENSMUSG00000078908","MON1 homolog B, secretory traffciking associated [Source:MGI Symbol;Acc:MGI:1923231]"
"1119","SRSF7","ENSG00000115875","1119.1.1","Srsf7","ENSMUSG00000024097","serine and arginine-rich splicing factor 7 [Source:MGI Symbol;Acc:MGI:1926232]"
"1120","ATP6V0C","ENSG00000185883","1120.1.1","Atp6v0c","ENSMUSG00000024121","ATPase, H+ transporting, lysosomal V0 subunit C [Source:MGI Symbol;Acc:MGI:88116]"
"1121","SETD7","ENSG00000145391","1121.1.1","Setd7","ENSMUSG00000037111","SET domain containing (lysine methyltransferase) 7 [Source:MGI Symbol;Acc:MGI:1920501]"
"1122","NFKBIZ","ENSG00000144802","1122.1.1","Nfkbiz","ENSMUSG00000035356","nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, zeta [Source:MGI Symbol;Acc:MGI:1931595]"
"1123","NEK4","ENSG00000114904","1123.1.1","Nek4","ENSMUSG00000021918","NIMA (never in mitosis gene a)-related expressed kinase 4 [Source:MGI Symbol;Acc:MGI:1344404]"
"1124","IQSEC1","ENSG00000144711","1124.1.1","Iqsec1","ENSMUSG00000034312","IQ motif and Sec7 domain 1 [Source:MGI Symbol;Acc:MGI:1196356]"
"1125","CEP350","ENSG00000135837","1125.1.1","Cep350","ENSMUSG00000033671","centrosomal protein 350 [Source:MGI Symbol;Acc:MGI:1921331]"
"1126","ADM","ENSG00000148926","1126.1.1","Adm","ENSMUSG00000030790","adrenomedullin [Source:MGI Symbol;Acc:MGI:108058]"
"1127","SESN2","ENSG00000130766","1127.1.1","Sesn2","ENSMUSG00000028893","sestrin 2 [Source:MGI Symbol;Acc:MGI:2651874]"
"1128","SLC49A4","ENSG00000138463","1128.1.1","Slc49a4","ENSMUSG00000022848","solute carrier family 49 member 4 [Source:MGI Symbol;Acc:MGI:2387188]"
"1129","DOLPP1","ENSG00000167130","1129.1.1","Dolpp1","ENSMUSG00000026856","dolichyl pyrophosphate phosphatase 1 [Source:MGI Symbol;Acc:MGI:1914093]"
"1130","ARIH2","ENSG00000177479","1130.1.1","Arih2","ENSMUSG00000064145","ariadne RBR E3 ubiquitin protein ligase 2 [Source:MGI Symbol;Acc:MGI:1344361]"
"1131","ARL15","ENSG00000185305","1131.1.1","Arl15","ENSMUSG00000042348","ADP-ribosylation factor-like 15 [Source:MGI Symbol;Acc:MGI:2442308]"
"1132","FUT8","ENSG00000033170","1132.1.1","Fut8","ENSMUSG00000021065","fucosyltransferase 8 [Source:MGI Symbol;Acc:MGI:1858901]"
"1133","SRRM1","ENSG00000133226","1133.1.1","Srrm1","ENSMUSG00000028809","serine/arginine repetitive matrix 1 [Source:MGI Symbol;Acc:MGI:1858303]"
"1134","PIK3R5","ENSG00000141506","1134.1.1","Pik3r5","ENSMUSG00000020901","phosphoinositide-3-kinase regulatory subunit 5 [Source:MGI Symbol;Acc:MGI:2443588]"
"1135","KHNYN","ENSG00000100441","1135.1.1","Khnyn","ENSMUSG00000047153","KH and NYN domain containing [Source:MGI Symbol;Acc:MGI:2451333]"
"1136","ARMC7","ENSG00000125449","1136.1.1","Armc7","ENSMUSG00000057219","armadillo repeat containing 7 [Source:MGI Symbol;Acc:MGI:2679719]"
"1137","POLA2","ENSG00000014138","1137.1.1","Pola2","ENSMUSG00000024833","polymerase (DNA directed), alpha 2 [Source:MGI Symbol;Acc:MGI:99690]"
"1138","ABCD2","ENSG00000173208","1138.1.1","Abcd2","ENSMUSG00000055782","ATP-binding cassette, sub-family D member 2 [Source:MGI Symbol;Acc:MGI:1349467]"
"1139","PLTP","ENSG00000100979","1139.1.1","Pltp","ENSMUSG00000017754","phospholipid transfer protein [Source:MGI Symbol;Acc:MGI:103151]"
"1140","XPO7","ENSG00000130227","1140.1.1","Xpo7","ENSMUSG00000022100","exportin 7 [Source:MGI Symbol;Acc:MGI:1929705]"
"1141","APPL1","ENSG00000157500","1141.1.1","Appl1","ENSMUSG00000040760","adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1 [Source:MGI Symbol;Acc:MGI:1920243]"
"1142","DUS3L","ENSG00000141994","1142.1.1","Dus3l","ENSMUSG00000007603","dihydrouridine synthase 3 like [Source:MGI Symbol;Acc:MGI:2147092]"
"1143","C16ORF46","ENSG00000166455","1143.1.1","1700030J22Rik","ENSMUSG00000031847","RIKEN cDNA 1700030J22 gene [Source:MGI Symbol;Acc:MGI:1916778]"
"1144","ZSWIM4","ENSG00000132003","1144.1.1","Zswim4","ENSMUSG00000035671","zinc finger SWIM-type containing 4 [Source:MGI Symbol;Acc:MGI:2443726]"
"1145","SGK3","ENSG00000104205","1145.1.1","Sgk3","ENSMUSG00000025915","serum/glucocorticoid regulated kinase 3 [Source:MGI Symbol;Acc:MGI:2182368]"
"1146","YWHAQ","ENSG00000134308","1146.1.1","Ywhaq","ENSMUSG00000076432","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta [Source:MGI Symbol;Acc:MGI:891963]"
"1147","PACS2","ENSG00000179364","1147.1.1","Pacs2","ENSMUSG00000021143","phosphofurin acidic cluster sorting protein 2 [Source:MGI Symbol;Acc:MGI:1924399]"
"1148","CDK2AP2","ENSG00000167797","1148.1.1","Cdk2ap2","ENSMUSG00000024856","cyclin dependent kinase 2 associated protein 2 [Source:MGI Symbol;Acc:MGI:1098779]"
"1149","FUCA2","ENSG00000001036","1149.1.1","Fuca2","ENSMUSG00000019810","fucosidase, alpha-L- 2, plasma [Source:MGI Symbol;Acc:MGI:1914098]"
"1150","ERBIN","ENSG00000112851","1150.1.1","Erbin","ENSMUSG00000021709","Erbb2 interacting protein [Source:MGI Symbol;Acc:MGI:1890169]"
"1151","TMED2","ENSG00000086598","1151.1.1","Tmed2","ENSMUSG00000029390","transmembrane p24 trafficking protein 2 [Source:MGI Symbol;Acc:MGI:1929269]"
"1152","USF1","ENSG00000158773","1152.1.1","Usf1","ENSMUSG00000026641","upstream transcription factor 1 [Source:MGI Symbol;Acc:MGI:99542]"
"1153","RIPK1","ENSG00000137275","1153.1.1","Ripk1","ENSMUSG00000021408","receptor (TNFRSF)-interacting serine-threonine kinase 1 [Source:MGI Symbol;Acc:MGI:108212]"
"1154","CARD19","ENSG00000165233","1154.1.1","Card19","ENSMUSG00000037960","caspase recruitment domain family, member 19 [Source:MGI Symbol;Acc:MGI:1915730]"
"1155","PARK7","ENSG00000116288","1155.1.1","Park7","ENSMUSG00000028964","Parkinson disease (autosomal recessive, early onset) 7 [Source:MGI Symbol;Acc:MGI:2135637]"
"1156","LRRFIP1","ENSG00000124831","1156.1.1","Lrrfip1","ENSMUSG00000026305","leucine rich repeat (in FLII) interacting protein 1 [Source:MGI Symbol;Acc:MGI:1342770]"
"1157","HIVEP1","ENSG00000095951","1157.1.1","Hivep1","ENSMUSG00000021366","human immunodeficiency virus type I enhancer binding protein 1 [Source:MGI Symbol;Acc:MGI:96100]"
"1158","NARS2","ENSG00000137513","1158.1.1","Nars2","ENSMUSG00000018995","asparaginyl-tRNA synthetase 2 (mitochondrial)(putative) [Source:MGI Symbol;Acc:MGI:2142075]"
"1159","SOD2","ENSG00000291237","1159.1.1","Sod2","ENSMUSG00000006818","superoxide dismutase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:98352]"
"1160","SMDT1","ENSG00000183172","1160.1.1","Smdt1","ENSMUSG00000022452","single-pass membrane protein with aspartate rich tail 1 [Source:MGI Symbol;Acc:MGI:1916279]"
"1161","IPP","ENSG00000197429","1161.1.1","Ipp","ENSMUSG00000028696","IAP promoted placental gene [Source:MGI Symbol;Acc:MGI:96581]"
"1162","MAP3K14","ENSG00000006062","1162.1.1","Map3k14","ENSMUSG00000020941","mitogen-activated protein kinase kinase kinase 14 [Source:MGI Symbol;Acc:MGI:1858204]"
"1163","RRM2B","ENSG00000048392","1163.1.1","Rrm2b","ENSMUSG00000022292","ribonucleotide reductase M2 B (TP53 inducible) [Source:MGI Symbol;Acc:MGI:2155865]"
"1164","SAC3D1","ENSG00000168061","1164.1.1","Sac3d1","ENSMUSG00000024790","SAC3 domain containing 1 [Source:MGI Symbol;Acc:MGI:1913656]"
"1165","HSPD1","ENSG00000144381","1165.1.1","Hspd1","ENSMUSG00000025980","heat shock protein 1 (chaperonin) [Source:MGI Symbol;Acc:MGI:96242]"
"1166","TOR3A","ENSG00000186283","1166.1.1","Tor3a","ENSMUSG00000060519","torsin family 3, member A [Source:MGI Symbol;Acc:MGI:1353652]"
"1167","BLOC1S6","ENSG00000104164","1167.1.1","Bloc1s6","ENSMUSG00000005804","biogenesis of lysosomal organelles complex-1, subunit 6, pallidin [Source:MGI Symbol;Acc:MGI:1927580]"
"1168","FOSL2","ENSG00000075426","1168.1.1","Fosl2","ENSMUSG00000029135","fos-like antigen 2 [Source:MGI Symbol;Acc:MGI:102858]"
"1169","RASSF3","ENSG00000153179","1169.1.1","Rassf3","ENSMUSG00000025795","Ras association (RalGDS/AF-6) domain family member 3 [Source:MGI Symbol;Acc:MGI:2179722]"
"1170","VPS26A","ENSG00000122958","1170.1.1","Vps26a","ENSMUSG00000020078","VPS26 retromer complex component A [Source:MGI Symbol;Acc:MGI:1353654]"
"1171","SF1","ENSG00000168066","1171.1.1","Sf1","ENSMUSG00000024949","splicing factor 1 [Source:MGI Symbol;Acc:MGI:1095403]"
"1172","ARMH3","ENSG00000120029","1172.1.1","Armh3","ENSMUSG00000039901","armadillo-like helical domain containing 3 [Source:MGI Symbol;Acc:MGI:1918867]"
"1173","TUT1","ENSG00000149016","1173.1.1","Tut1","ENSMUSG00000071645","terminal uridylyl transferase 1, U6 snRNA-specific [Source:MGI Symbol;Acc:MGI:1917294]"
"1174","FZD1","ENSG00000157240","1174.1.1","Fzd1","ENSMUSG00000044674","frizzled class receptor 1 [Source:MGI Symbol;Acc:MGI:1196625]"
"1175","TMEM140","ENSG00000146859","1175.1.1","Tmem140","ENSMUSG00000057137","transmembrane protein 140 [Source:MGI Symbol;Acc:MGI:1915737]"
"1176","VRK2","ENSG00000028116","1176.1.1","Vrk2","ENSMUSG00000064090","vaccinia related kinase 2 [Source:MGI Symbol;Acc:MGI:1917172]"
"1177","RPN1","ENSG00000163902","1177.1.1","Rpn1","ENSMUSG00000030062","ribophorin I [Source:MGI Symbol;Acc:MGI:98084]"
"1178","ZNF821","ENSG00000102984","1178.1.1","Zfp821","ENSMUSG00000031728","zinc finger protein 821 [Source:MGI Symbol;Acc:MGI:1923121]"
"1179","RAP1B","ENSG00000127314","1179.1.1","Rap1b","ENSMUSG00000052681","RAS related protein 1b [Source:MGI Symbol;Acc:MGI:894315]"
"1180","RNPC3","ENSG00000185946","1180.1.1","Rnpc3","ENSMUSG00000027981","RNA-binding region (RNP1, RRM) containing 3 [Source:MGI Symbol;Acc:MGI:1914475]"
"1181","DGUOK","ENSG00000114956","1181.1.1","Dguok","ENSMUSG00000014554","deoxyguanosine kinase [Source:MGI Symbol;Acc:MGI:1351602]"
"1182","LSM6","ENSG00000164167","1182.1.1","Lsm6","ENSMUSG00000031683","LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:MGI Symbol;Acc:MGI:1925901]"
"1183","LETM2","ENSG00000165046","1183.1.1","Letm2","ENSMUSG00000037363","leucine zipper-EF-hand containing transmembrane protein 2 [Source:MGI Symbol;Acc:MGI:2444979]"
"1184","SAP130","ENSG00000136715","1184.1.1","Sap130","ENSMUSG00000024260","Sin3A associated protein [Source:MGI Symbol;Acc:MGI:1919782]"
"1185","MYC","ENSG00000136997","1185.1.1","Myc","ENSMUSG00000022346","myelocytomatosis oncogene [Source:MGI Symbol;Acc:MGI:97250]"
"1185","MYC","ENSG00000136997","1185.1.2","Bmyc","ENSMUSG00000049086","brain expressed myelocytomatosis oncogene [Source:MGI Symbol;Acc:MGI:88184]"
"1186","CXCR4","ENSG00000121966","1186.1.1","Cxcr4","ENSMUSG00000045382","C-X-C motif chemokine receptor 4 [Source:MGI Symbol;Acc:MGI:109563]"
"1187","KDM3A","ENSG00000115548","1187.1.1","Kdm3a","ENSMUSG00000053470","lysine (K)-specific demethylase 3A [Source:MGI Symbol;Acc:MGI:98847]"
"1188","MASTL","ENSG00000120539","1188.1.1","Mastl","ENSMUSG00000026779","microtubule associated serine/threonine kinase-like [Source:MGI Symbol;Acc:MGI:1914371]"
"1189","TMEM43","ENSG00000170876","1189.1.1","Tmem43","ENSMUSG00000030095","transmembrane protein 43 [Source:MGI Symbol;Acc:MGI:1921372]"
"1190","TMEM143","ENSG00000161558","1190.1.1","Tmem143","ENSMUSG00000002781","transmembrane protein 143 [Source:MGI Symbol;Acc:MGI:1917459]"
"1191","CDC26","ENSG00000176386","1191.1.1","Cdc26","ENSMUSG00000066149","cell division cycle 26 [Source:MGI Symbol;Acc:MGI:1913690]"
"1192","PDIA4","ENSG00000155660","1192.1.1","Pdia4","ENSMUSG00000025823","protein disulfide isomerase associated 4 [Source:MGI Symbol;Acc:MGI:104864]"
"1193","CTTNBP2NL","ENSG00000143079","1193.1.1","Cttnbp2nl","ENSMUSG00000062127","CTTNBP2 N-terminal like [Source:MGI Symbol;Acc:MGI:1933137]"
"1194","SNX27","ENSG00000143376","1194.1.1","Snx27","ENSMUSG00000028136","sorting nexin family member 27 [Source:MGI Symbol;Acc:MGI:1923992]"
"1195","RHBDF2","ENSG00000129667","1195.1.1","Rhbdf2","ENSMUSG00000020806","rhomboid 5 homolog 2 [Source:MGI Symbol;Acc:MGI:2442473]"
"1196","RAPH1","ENSG00000173166","1196.1.1","Raph1","ENSMUSG00000026014","Ras association (RalGDS/AF-6) and pleckstrin homology domains 1 [Source:MGI Symbol;Acc:MGI:1924550]"
"1197","RNASEL","ENSG00000135828","1197.1.1","Rnasel","ENSMUSG00000066800","ribonuclease L (2', 5'-oligoisoadenylate synthetase-dependent) [Source:MGI Symbol;Acc:MGI:1098272]"
"1198","TEP1","ENSG00000129566","1198.1.1","Tep1","ENSMUSG00000006281","telomerase associated protein 1 [Source:MGI Symbol;Acc:MGI:109573]"
"1199","PTK2","ENSG00000169398","1199.1.1","Ptk2","ENSMUSG00000022607","PTK2 protein tyrosine kinase 2 [Source:MGI Symbol;Acc:MGI:95481]"
"1200","SESN1","ENSG00000080546","1200.1.1","Sesn1","ENSMUSG00000038332","sestrin 1 [Source:MGI Symbol;Acc:MGI:2155278]"
"1201","ALDH3A2","ENSG00000072210","1201.1.1","Aldh3a2","ENSMUSG00000010025","aldehyde dehydrogenase family 3, subfamily A2 [Source:MGI Symbol;Acc:MGI:1353452]"
"1202","PCGF1","ENSG00000115289","1202.1.1","Pcgf1","ENSMUSG00000069678","polycomb group ring finger 1 [Source:MGI Symbol;Acc:MGI:1917087]"
"1203","PSMD4","ENSG00000159352","1203.1.1","Psmd4","ENSMUSG00000005625","proteasome (prosome, macropain) 26S subunit, non-ATPase, 4 [Source:MGI Symbol;Acc:MGI:1201670]"
"1204","KDM4A","ENSG00000066135","1204.1.1","Kdm4a","ENSMUSG00000033326","lysine (K)-specific demethylase 4A [Source:MGI Symbol;Acc:MGI:2446210]"
"1205","TOP2B","ENSG00000077097","1205.1.1","Top2b","ENSMUSG00000017485","topoisomerase (DNA) II beta [Source:MGI Symbol;Acc:MGI:98791]"
"1206","UBAP2","ENSG00000137073","1206.1.1","Ubap2","ENSMUSG00000028433","ubiquitin-associated protein 2 [Source:MGI Symbol;Acc:MGI:1916176]"
"1207","PTP4A2","ENSG00000184007","1207.1.1","Ptp4a2","ENSMUSG00000028788","protein tyrosine phosphatase 4a2 [Source:MGI Symbol;Acc:MGI:1277117]"
"1208","ART3","ENSG00000156219","1208.1.1","Art3","ENSMUSG00000034842","ADP-ribosyltransferase 3 [Source:MGI Symbol;Acc:MGI:1202729]"
"1209","BCL3","ENSG00000069399","1209.1.1","Bcl3","ENSMUSG00000053175","B cell leukemia/lymphoma 3 [Source:MGI Symbol;Acc:MGI:88140]"
"1210","YPEL5","ENSG00000119801","1210.1.1","Ypel5","ENSMUSG00000039770","yippee like 5 [Source:MGI Symbol;Acc:MGI:1916937]"
"1211","CCDC9","ENSG00000105321","1211.1.1","Ccdc9","ENSMUSG00000041375","coiled-coil domain containing 9 [Source:MGI Symbol;Acc:MGI:1921443]"
"1212","CCT6B","ENSG00000132141","1212.1.1","Cct6b","ENSMUSG00000020698","chaperonin containing TCP1 subunit 6B [Source:MGI Symbol;Acc:MGI:1329013]"
"1213","COLGALT1","ENSG00000130309","1213.1.1","Colgalt1","ENSMUSG00000034807","collagen beta(1-O)galactosyltransferase 1 [Source:MGI Symbol;Acc:MGI:1924348]"
"1214","PRR12","ENSG00000126464","1214.1.1","Prr12","ENSMUSG00000046574","proline rich 12 [Source:MGI Symbol;Acc:MGI:2679002]"
"1215","INTS4","ENSG00000149262","1215.1.1","Ints4","ENSMUSG00000025133","integrator complex subunit 4 [Source:MGI Symbol;Acc:MGI:1917164]"
"1216","ORMDL1","ENSG00000128699","1216.1.1","Ormdl1","ENSMUSG00000026097","ORM1-like 1 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2181669]"
"1217","CASP6","ENSG00000138794","1217.1.1","Casp6","ENSMUSG00000027997","caspase 6 [Source:MGI Symbol;Acc:MGI:1312921]"
"1218","N4BP1","ENSG00000102921","1218.1.1","N4bp1","ENSMUSG00000031652","NEDD4 binding protein 1 [Source:MGI Symbol;Acc:MGI:2136825]"
"1219","GBP2","ENSG00000162645","1219.1.1","Gbp2","ENSMUSG00000028270","guanylate binding protein 2 [Source:MGI Symbol;Acc:MGI:102772]"
"1219","GBP2","ENSG00000162645","1219.1.2","Gbp2b","ENSMUSG00000040264","guanylate binding protein 2b [Source:MGI Symbol;Acc:MGI:95666]"
"1220","TRAPPC6B","ENSG00000182400","1220.1.1","Trappc6b","ENSMUSG00000020993","trafficking protein particle complex 6B [Source:MGI Symbol;Acc:MGI:1925482]"
"1221","SIN3A","ENSG00000169375","1221.1.1","Sin3a","ENSMUSG00000042557","transcriptional regulator, SIN3A (yeast) [Source:MGI Symbol;Acc:MGI:107157]"
"1222","RTRAF","ENSG00000087302","1222.1.1","Rtraf","ENSMUSG00000021807","RNA transcription, translation and transport factor [Source:MGI Symbol;Acc:MGI:1915295]"
"1223","CASP9","ENSG00000132906","1223.1.1","Casp9","ENSMUSG00000028914","caspase 9 [Source:MGI Symbol;Acc:MGI:1277950]"
"1224","FGD6","ENSG00000180263","1224.1.1","Fgd6","ENSMUSG00000020021","FYVE, RhoGEF and PH domain containing 6 [Source:MGI Symbol;Acc:MGI:1261419]"
"1225","MADD","ENSG00000110514","1225.1.1","Madd","ENSMUSG00000040687","MAP-kinase activating death domain [Source:MGI Symbol;Acc:MGI:2444672]"
"1226","XPO1","ENSG00000082898","1226.1.1","Xpo1","ENSMUSG00000020290","exportin 1 [Source:MGI Symbol;Acc:MGI:2144013]"
"1227","R3HCC1L","ENSG00000166024","1227.1.1","R3hcc1l","ENSMUSG00000025184","R3H domain and coiled-coil containing 1 like [Source:MGI Symbol;Acc:MGI:1196316]"
"1228","EMP1","ENSG00000134531","1228.1.1","Emp1","ENSMUSG00000030208","epithelial membrane protein 1 [Source:MGI Symbol;Acc:MGI:107941]"
"1229","PANK1","ENSG00000152782","1229.1.1","Pank1","ENSMUSG00000033610","pantothenate kinase 1 [Source:MGI Symbol;Acc:MGI:1922985]"
"1230","STAMBPL1","ENSG00000138134","1230.1.1","Stambpl1","ENSMUSG00000024776","STAM binding protein like 1 [Source:MGI Symbol;Acc:MGI:1923880]"
"1231","VCP","ENSG00000165280","1231.1.1","Vcp","ENSMUSG00000028452","valosin containing protein [Source:MGI Symbol;Acc:MGI:99919]"
"1232","TBC1D13","ENSG00000107021","1232.1.1","Tbc1d13","ENSMUSG00000039678","TBC1 domain family, member 13 [Source:MGI Symbol;Acc:MGI:2385326]"
"1233","HEG1","ENSG00000173706","1233.1.1","Heg1","ENSMUSG00000075254","heart development protein with EGF-like domains 1 [Source:MGI Symbol;Acc:MGI:1924696]"
"1234","SP3","ENSG00000172845","1234.1.1","Sp3","ENSMUSG00000027109","trans-acting transcription factor 3 [Source:MGI Symbol;Acc:MGI:1277166]"
"1235","TET3","ENSG00000187605","1235.1.1","Tet3","ENSMUSG00000034832","tet methylcytosine dioxygenase 3 [Source:MGI Symbol;Acc:MGI:2446229]"
"1236","HMBOX1","ENSG00000147421","1236.1.1","Hmbox1","ENSMUSG00000021972","homeobox containing 1 [Source:MGI Symbol;Acc:MGI:2445066]"
"1237","TARDBP","ENSG00000120948","1237.1.1","Tardbp","ENSMUSG00000041459","TAR DNA binding protein [Source:MGI Symbol;Acc:MGI:2387629]"
"1238","TMEM11","ENSG00000178307","1238.1.1","Tmem11","ENSMUSG00000043284","transmembrane protein 11 [Source:MGI Symbol;Acc:MGI:2144726]"
"1239","ATL3","ENSG00000184743","1239.1.1","Atl3","ENSMUSG00000024759","atlastin GTPase 3 [Source:MGI Symbol;Acc:MGI:1924270]"
"1240","TMEM59","ENSG00000116209","1240.1.1","Tmem59","ENSMUSG00000028618","transmembrane protein 59 [Source:MGI Symbol;Acc:MGI:1929278]"
"1241","MAX","ENSG00000125952","1241.1.1","Max","ENSMUSG00000059436","Max protein [Source:MGI Symbol;Acc:MGI:96921]"
"1242","ZSWIM8","ENSG00000214655","1242.1.1","Zswim8","ENSMUSG00000021819","zinc finger SWIM-type containing 8 [Source:MGI Symbol;Acc:MGI:1919156]"
"1243","VDAC2","ENSG00000165637","1243.1.1","Vdac2","ENSMUSG00000021771","voltage-dependent anion channel 2 [Source:MGI Symbol;Acc:MGI:106915]"
"1244","STX3","ENSG00000166900","1244.1.1","Stx3","ENSMUSG00000041488","syntaxin 3 [Source:MGI Symbol;Acc:MGI:103077]"
"1245","INPPL1","ENSG00000165458","1245.1.1","Inppl1","ENSMUSG00000032737","inositol polyphosphate phosphatase-like 1 [Source:MGI Symbol;Acc:MGI:1333787]"
"1246","JAK2","ENSG00000096968","1246.1.1","Jak2","ENSMUSG00000024789","Janus kinase 2 [Source:MGI Symbol;Acc:MGI:96629]"
"1247","PLIN2","ENSG00000147872","1247.1.1","Plin2","ENSMUSG00000028494","perilipin 2 [Source:MGI Symbol;Acc:MGI:87920]"
"1248","CAPZA1","ENSG00000116489","1248.1.1","Capza1b","ENSMUSG00000055357","capping actin protein of muscle Z-line subunit alpha 1B [Source:MGI Symbol;Acc:MGI:1913997]"
